lat,lng,gid,entidad,objeto,fna,gna,nam,tap,jap,caa,fdc,sag,area
-34.1839009945,-58.2508401560269,88,falso,Área protegida,Reserva Natural de Uso Múltiple Isla Martín García,Reserva Natural de Uso Múltiple,Isla Martín García,2,3,17,SIB/IGN/Ley Provincial Nº 7.580/1969,IGN,1935
-34.4686986725,-58.4942951386013,90,falso,Área protegida,Parque Natural Municipal Ribera Norte,Parque Natural Municipal,Ribera Norte,2,4,17,IGN/Portal Web de la Municipalidad,IGN,140
-34.4138835,-58.9171284874427,91,falso,Área protegida,Reserva Natural Municipal del Pilar,Reserva Natural Municipal,del Pilar,2,4,17,IGN/Ordenanza Municipal Nº 44/1991,IGN,2190
-37.9352549804999,-65.6041157758969,92,falso,Área protegida,Parque Nacional Lihuel Calel,Parque Nacional,Lihuel Calel,1,2,17,SIB/IGN/Decreto Nacional Nº 609/1976,IGN,327341
-29.8347296909999,-58.5835519424135,172,falso,Área protegida,Reserva Natural Provincial Rincón de Santa María,Reserva Natural Provincial,Rincón de Santa María,2,4,17,,MAyDS,71378
-37.7103961494999,-63.5230190113007,93,falso,Área protegida,Reserva Provincial Natural Laguna de Guatraché,Reserva Provincial Natural,Laguna de Guatraché,2,3,17,SIB/IGN/Ley Provincial Nº 1.353/1991,IGN,54620
-34.703822167,-58.9030147071878,96,falso,Área protegida,Reserva Natural Provincial de Objetivo Definido Educativo Arroyo El Durazno,Reserva Natural Provincial de Objetivo Definido,Arroyo El Durazno,2,3,17,SIB/IGN/OPDS/Decreto Pcial. Nº 469/2011,IGN,4433
-26.4538651394999,-53.8072930991468,97,falso,Área protegida,Parque Provincial Piñalito,Parque Provincial,Piñalito,1,3,17,SIB/IGN/Ley Provincial Nº 3.467/1997,IGN,37868
-35.044805525,-58.5112676693522,98,falso,Área protegida,Reserva Natural Objetivo Definido Educativo Lagunas de San Vicente,Reserva Natural Municipal,Lagunas de San Vicente,2,4,17,,MAyDS,7187
-36.789083786,-66.8664750869093,100,falso,Área protegida,Reserva Natural Ñochilei-co,Reserva Natural,Ñochilei-co,2,2,17,,MAyDS,247695
-37.3635583299999,-67.0526966956151,101,falso,Área protegida,Reserva Natural Salitral Encantado,Reserva Natural,Salitral Encantado,2,2,17,,MAyDS,968644
-25.7036618954999,-54.6088344282598,105,falso,Área protegida,Reserva Natural de la Defensa Puerto Península,Reserva Natural de la Defensa,Puerto Península,2,2,17,SIB/IGN/Protocolo adicional Nº 02/2008,IGN,83625
-26.9102711634999,-53.9964803401631,106,falso,Área protegida,Reserva de Biósfera Yabotí,Reserva de Biósfera,Yabotí,2,3,17,SIB/IGN/Ley Provincial Nº 3.041/1993/Cancillería,IGN,2294965
-25.5478853894999,-54.1239121092262,107,falso,Área protegida,Parque Provincial Grupo de la Isla Grande del Iguazú Superior,Parque Provincial,Grupo de la Isla Grande del Iguazú Superior,1,3,17,SIB/IGN/Ley Provincial Nº 4.203/2005,IGN,192
-25.50206629,-54.1076060972777,108,falso,Área protegida,Parque Provincial Ingeniero Agrónomo Roberto Cametti,Parque Provincial,Ingeniero Agrónomo Roberto Cametti,1,3,17,SIB/IGN/Ley Provincial Nº 3.662/2001,IGN,1303
